hr_id,meeting_id,Title,Type,Recurrence,DayOfWeek,DayOfMonth,StartTime,EndTime,Location,Attendees,AttendeePhotos
HR02,HR02-M9,Wellbeing initiative,meeting,weekly,Thu,,15:00,16:30,Teams,Sarah;Nadia;Anna,face_17.jpg;face_07.jpg;face_01.jpg
HR02,HR02-M10,Performance calibration,review,weekly,Fri,,10:30,12:00,Room Aurora,Lucas;Anna,face_18.jpg;face_01.jpg
HR02,HR02-M11,Talent review — Sales,review,weekly,Mon,,11:00,12:30,Room Aurora,Sophie;Eva,face_02.jpg;face_09.jpg
HR02,HR02-M12,Manager 1:1 — Production,1:1,weekly,Tue,,13:30,15:30,Teams,Liam,face_13.jpg
HR03,HR03-W1,Hiring sync,sync,weekly,Wed,,09:30,10:00,Teams,Sophie;Mark;Steven,face_02.jpg;face_06.jpg;face_11.jpg
HR03,HR03-W2,Recruitment standup,sync,weekly,Fri,,13:00,13:45,Teams,Rick;Sarah;Maud,face_03.jpg;face_17.jpg;face_14.jpg
HR03,HR03-M1,Career fair prep,workshop,weekly,Mon,,13:00,13:45,Room Delft,Nadia;Rick;Aisha;Nora;Tom,face_07.jpg;face_03.jpg;face_20.jpg;face_10.jpg;face_04.jpg
HR03,HR03-M2,Intake — Finance role,meeting,weekly,Tue,,11:00,12:00,Teams,Mark;Tom;Rick,face_06.jpg;face_04.jpg;face_03.jpg
HR03,HR03-M3,Interview — Data Analyst,interview,weekly,Wed,,14:00,15:00,Room Maas,Maud;Aisha,face_14.jpg;face_20.jpg
HR03,HR03-M4,Offer review,review,weekly,Thu,,16:00,17:00,Teams,Liam;Tom,face_13.jpg;face_04.jpg
HR03,HR03-M5,Pipeline review with Sarah,review,weekly,Fri,,10:00,11:00,Teams,Ben;Lisa,face_08.jpg;face_05.jpg
HR03,HR03-M6,Hiring manager sync — Eng,meeting,weekly,Mon,,15:00,16:00,Teams,David;Lucas;Rick,face_16.jpg;face_18.jpg;face_03.jpg
HR03,HR03-M7,Interview — Production Tech,interview,weekly,Tue,,10:00,11:30,Teams,Rick;Tom,face_03.jpg;face_04.jpg
HR03,HR03-M8,Sourcing strategy,workshop,weekly,Wed,,10:00,11:30,Room Delft,Lisa;Nora;Tom;Mark;Rick,face_05.jpg;face_10.jpg;face_04.jpg;face_06.jpg;face_03.jpg
HR03,HR03-M9,Panel interview — Manager,interview,weekly,Thu,,13:30,15:00,Room Aurora,Mark;Sophie,face_06.jpg;face_02.jpg
HR03,HR03-M10,Reference calls block,meeting,weekly,Fri,,09:30,11:00,Teams,Eva;Maud;Steven,face_09.jpg;face_14.jpg;face_11.jpg
HR03,HR03-M11,Interview — Sales Lead,interview,weekly,Mon,,11:00,12:30,Teams,Steven;Lisa,face_11.jpg;face_05.jpg
HR03,HR03-M12,Agency review,review,weekly,Tue,,14:00,16:00,Teams,Emma;Maud,face_19.jpg;face_14.jpg
HR04,HR04-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,Sarah;Lisa;Rick,face_17.jpg;face_05.jpg;face_03.jpg
HR04,HR04-W2,L&D check-in,sync,weekly,Thu,,11:00,11:45,Teams,Tess;Ben;Lisa,face_15.jpg;face_08.jpg;face_05.jpg
HR04,HR04-M1,Trainer briefing,meeting,weekly,Mon,,11:00,11:45,Room Delft,Liam;Ben;Nadia,face_13.jpg;face_08.jpg;face_07.jpg
HR04,HR04-M2,Skills workshop,workshop,weekly,Tue,,10:00,11:00,Room Delft,Lisa;Lucas;Aisha;Iris;Eva,face_05.jpg;face_18.jpg;face_20.jpg;face_12.jpg;face_09.jpg
HR04,HR04-M3,Curriculum planning,workshop,weekly,Wed,,13:00,14:00,Room Delft,Mark;Nadia;Maud;Ben;Lucas,face_06.jpg;face_07.jpg;face_14.jpg;face_08.jpg;face_18.jpg
HR04,HR04-M4,Vendor demo — SkillForge,meeting,weekly,Thu,,15:00,16:00,Teams,Lucas;Anna;Eva,face_18.jpg;face_01.jpg;face_09.jpg
HR04,HR04-M5,E-learning build session,workshop,weekly,Fri,,13:00,14:00,Room Maas,Lucas;Ben;Nora;Mark;Eva,face_18.jpg;face_08.jpg;face_10.jpg;face_06.jpg;face_09.jpg
HR04,HR04-M6,Budget reconciliation,review,weekly,Mon,,14:00,15:00,Teams,Lisa;Anna,face_05.jpg;face_01.jpg
HR04,HR04-M7,Training impact analysis,review,weekly,Tue,,10:00,11:30,Teams,Tess;Tom,face_15.jpg;face_04.jpg
HR04,HR04-M8,New-hire orientation,meeting,weekly,Wed,,09:00,10:30,Room Aurora,Maud;Tess;Emma,face_14.jpg;face_15.jpg;face_19.jpg
HR04,HR04-M9,Compliance training review,review,weekly,Thu,,11:00,12:30,Teams,Rick;Aisha,face_03.jpg;face_20.jpg
HR04,HR04-M10,Content review — onboarding,review,weekly,Fri,,14:00,15:30,Teams,Maud;Eva,face_14.jpg;face_09.jpg
HR04,HR04-M11,Cohort 2 session,workshop,weekly,Mon,,09:30,11:00,Room Aurora,Sophie;Steven;Sarah;Nora;Lisa,face_02.jpg;face_11.jpg;face_17.jpg;face_10.jpg;face_05.jpg
HR04,HR04-M12,Leadership cohort kickoff,workshop,weekly,Tue,,09:30,11:30,Room Aurora,Mark;Lisa;Emma;Steven;Rick,face_06.jpg;face_05.jpg;face_19.jpg;face_11.jpg;face_03.jpg
HR05,HR05-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,Steven;Eva;Iris,face_11.jpg;face_09.jpg;face_12.jpg
HR05,HR05-W2,Ops wrap-up,sync,weekly,Fri,,15:00,15:45,Room Maas,Maud;Eva;Aisha,face_14.jpg;face_09.jpg;face_20.jpg
HR05,HR05-M1,Audit prep,review,weekly,Mon,,14:00,14:45,Room Delft,Iris;Aisha,face_12.jpg;face_20.jpg
HR05,HR05-M2,Process improvement workshop,workshop,weekly,Tue,,13:00,14:00,Room Delft,Maud;Aisha;Rick;Sophie;Eva,face_14.jpg;face_20.jpg;face_03.jpg;face_02.jpg;face_09.jpg
HR05,HR05-M3,Pension reconciliation,review,weekly,Wed,,10:00,11:00,Teams,Eva;Mark,face_09.jpg;face_06.jpg
HR05,HR05-M4,Payroll run,deadline,weekly,Thu,,09:00,10:00,Teams,,
HR05,HR05-M5,Offboarding processing,meeting,weekly,Fri,,11:00,12:00,Teams,Iris;Nora;Maud,face_12.jpg;face_10.jpg;face_14.jpg
HR05,HR05-M6,Contract renewals,review,weekly,Mon,,15:00,16:00,Teams,Sophie;Rick,face_02.jpg;face_03.jpg
HR05,HR05-M7,Benefits enrollment review,review,weekly,Tue,,11:00,12:30,Room Maas,Tess;Rick,face_15.jpg;face_03.jpg
HR05,HR05-M8,Compliance check,review,weekly,Wed,,10:00,11:30,Teams,Nadia;Tess,face_07.jpg;face_15.jpg
HR05,HR05-M9,New-starter setup,meeting,weekly,Thu,,09:30,11:00,Teams,Emma;Tom;Iris,face_19.jpg;face_04.jpg;face_12.jpg
HR05,HR05-M10,Onboarding admin block,meeting,weekly,Fri,,13:00,14:30,Teams,David;Lucas;Eva,face_16.jpg;face_18.jpg;face_09.jpg
HR05,HR05-M11,HRIS data cleanup,meeting,weekly,Mon,,13:30,15:00,Teams,Mark;Iris;Lucas,face_06.jpg;face_12.jpg;face_18.jpg
HR05,HR05-M12,Payroll cut-off check,deadline,weekly,Tue,,10:00,12:00,Teams,,
